Filename,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Parties-Answer,Agreement Date-Answer,Effective Date-Answer,Expiration Date-Answer,Renewal Term-Answer,Notice Period To Terminate Renewal- Answer
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement.PDF","['Bachem', 'Magenta', 'Magenta and Bachem may be referred to individually as a ""Party"" or collectively as the ""Parties.""', 'Bachem Americas, Inc.', 'Magenta Therapeutics, Inc.']","['February 13, 2018']","['February 13, 2018']","['This Agreement shall commence on the Effective Date and shall extend for a period of Five (5) years thereafter (""Initial Term""), unless this Agreement is terminated earlier as provided herein or is extended by mutual written agreement of the Parties.']","['This Agreement may be renewed for additional periods of one (1) year (each such additional period, a ""Renewal Term"") unless either Party provides notice of nonrenewal upon not less than [***] prior written notice to the other Party.']","['This Agreement may be renewed for additional periods of one (1) year (each such additional period, a ""Renewal Term"") unless either Party provides notice of nonrenewal upon not less than [***] prior written notice to the other Party.']","Magenta Therapeutics, Inc. (""Magenta""); Bachem Americas, Inc. (""Bachem"") (individually as a “Party” or collectively as the “Parties”)",2/13/18,2/13/18,2/13/23,successive 1 year,
"Sonos, Inc. - Manufacturing Agreement .PDF","['Sonos, Inc.', 'IAC', 'Sonos', 'Inventec Appliances Corporation']","['September 4, 2014']","['September 4, 2014']","['Unless terminated earlier as provided herein, this Agreement shall terminate on the date three (3) years from the Effective Date.']","['This Agreement shall be automatically renewed for additional successive one (1) year periods, unless written notice of non-renewal is received no later than six (6) months prior to the expiration of the then current term.']","['This Agreement shall be automatically renewed for additional successive one (1) year periods, unless written notice of non-renewal is received no later than six (6) months prior to the expiration of the then current term.']","Sonos, Inc. (""Sonos""); Inventec Appliances Corporation (""IAC"")",9/4/14,9/4/14,9/4/17,successive 1 year,6 months
"VAPOTHERM, INC. - Manufacturing and Supply Agreement.PDF","['Vapotherm', 'VAPOTHERM, INC.', 'MEDICA S.p.A.', 'Medica']","['January 1st, 2013']",[],"['The term of this Agreement is three years from and including the date of this Agreement (the ""Initial Term""), with automatic renewal for additional successive one-year terms (each a ""Renewal Term"" and together wit the Initial Term, the ""Term"") unless no later than [* * *] days prior to the end of the Initial Term, or any Renewal Term either party notifies the other that it wishes to terminate this Agreement effective the end of the Initial Term or that Renewal Term, as applicable.']","['The term of this Agreement is three years from and including the date of this Agreement (the ""Initial Term""), with automatic renewal for additional successive one-year terms (each a ""Renewal Term"" and together wit the Initial Term, the ""Term"") unless no later than [* * *] days prior to the end of the Initial Term, or any Renewal Term either party notifies the other that it wishes to terminate this Agreement effective the end of the Initial Term or that Renewal Term, as applicable.']","['The term of this Agreement is three years from and including the date of this Agreement (the ""Initial Term""), with automatic renewal for additional successive one-year terms (each a ""Renewal Term"" and together wit the Initial Term, the ""Term"") unless no later than [* * *] days prior to the end of the Initial Term, or any Renewal Term either party notifies the other that it wishes to terminate this Agreement effective the end of the Initial Term or that Renewal Term, as applicable.']","VAPOTHERM, INC (""Vapotherm""); MEDICA S.p.A. (""Medica"")",1/1/13,,1/1/16,successive 1 year,[]
"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT.PDF","['On2 Technologies, Inc.', 'Wildform', 'On2', 'Wildform, Inc.']","['April __, 2005']","['April __, 2005']","['Except as otherwise set forth in Sections 9.2 and 9.3 or Exhibit A hereof, the term of this Agreement shall be eighteen (18) months (""Term"").']",[],[],"On2 Technologies, Inc. (""On2""); Wildform, Inc. (""Wildform"")",04/[]/2005,04/[]/2005,10/[]/2006,,
PRIMEENERGYRESOURCESCORP_04_02_2007-EX-10.28-COMPLETION AND LIQUIDITY MAINTENANCE AGREEMENT.PDF,"['GUARANTY BANK', 'Offshore', 'Guaranty', 'Prime', 'PRIMEEVERGY CORPORATION', 'PRIME OFFSHORE L.L.C.']","['June 29, 2006']","['June 29, 2006']",[],[],[],"PRIMEEVERGY CORPORATION (""Prime); GUARANTY BANK (""Guaranty""); PRIME OFFSHORE L.L.C. (""Offshore"")",6/29/06,6/29/06,,,
SECURIANFUNDSTRUST_05_01_2012-EX-99.28.H.9-NET INVESTMENT INCOME MAINTENANCE AGREEMENT.PDF,"['the ""Underwriter""', 'Advantus Capital  Management, Inc.', 'the ""Investment Adviser""', 'Securian Funds Trust', 'Securian Financial Services, Inc.', 'the ""Trust""', ""Trust's Advantus Money Market Fund"", 'the ""Fund""']","['May 1, 2012']","['May 1, 2012']","['This Agreement shall continue in effect for a period of one year from the date of its execution and from year to year thereafter provided such  continuance is specifically approved by a majority of the trustees of the Trust who (i) are not ""interested persons"" of the Trust or any other party  to this Agreement, as defined in the 1940 Act, and (ii) have no direct or indirect financial interest in the operation of this Agreement (""Non- Interested Trustees"").']","['This Agreement shall continue in effect for a period of one year from the date of its execution and from year to year thereafter provided such  continuance is specifically approved by a majority of the trustees of the Trust who (i) are not ""interested persons"" of the Trust or any other party  to this Agreement, as defined in the 1940 Act, and (ii) have no direct or indirect financial interest in the operation of this Agreement (""Non- Interested Trustees"")']",[],"Advantus Capital  Management, Inc. (""Investment Adviser”); Securian Financial Services, Inc. (“Underwriter”); Securian Funds Trust (“Trust”); 
Trust’s Advantus Money Market Fund (“Fund”)",5/1/12,5/1/12,5/1/13,sucessive 1 year,
SANDRIDGEENERGYINC_08_06_2009-EX-10.6-OPERATIONS AND MAINTENANCE AGREEMENT.PDF,"['SandRidge Midstream, Inc.', 'Operator', 'Owner', 'Piñon Gathering Company, LLC']","['June 30, 2009']","['June 30, 2009']","['This Agreement shall commence on the Effective Date and, unless terminated earlier pursuant to Section 3.2 or 3.3 of this Agreement, shall  continue until the twentieth (20th) anniversary of the Effective Date; provided, however, (i) Operator shall have the right to terminate this  Agreement at any time upon no less than 120 days prior written notice to Owner, if Operator provides a substitute operator acceptable to Owner,  as determined in its reasonable discretion, who (A) has experience operating similar assets, (B) has the ability to provide at least the same quality  of service as Operator, (C) has the financial ability to perform the obligations hereunder, and (D) is ready, willing and able to execute an operation  and maintenance agreement substantially similar to this Agreement and acceptable to Owner, as determined in its reasonable discretion, and  (ii) Owner shall have the right to terminate this Agreement at any time upon no less than 120 days prior written notice to Operator.']",[],[],"Piñon Gathering Company, LLC (""Owner""); SandRidge Midstream, Inc. (""Operator"")",6/30/09,6/30/09,6/30/29,,
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.(J)(4)-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.PDF,"['Company', 'American International Group, Inc.', 'American General Life Insurance Company', 'AIG']","['March 30, 2011']","['March 30, 2011']","['Unless earlier terminated in accordance with this paragraph 8, this        Agreement shall continue indefinitely.', 'To the extent not terminated previously        by AIG pursuant to the foregoing, this Agreement will terminate        automatically one year after the closing of any sale of the Company by        AIG, and all provisions hereof will be of no further force and effect.']",[],[],"American International Group, Inc. (""AIG""); American General Life Insurance Company (""Company"")",3/30/11,3/30/11,perpetual,,
SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules.PDF,"['EuroTel', 'Sicap Ltd']",[],['It shall be effective on 06 October 2000 and shall have a duration of two       years.'],['It shall be effective on 06 October 2000 and shall have a duration of two       years.'],"['After the initial period of two years, the maintenance and support       contract shall be automatically renewed for a period of one year on each       renewal date, unless one of the parties terminates the maintenance and       support contract through written notification to the other party in the       form of a registered letter with proof of receipt, at least six (6) weeks       prior to the renewal date.']","['After the initial period of two years, the maintenance and support       contract shall be automatically renewed for a period of one year on each       renewal date, unless one of the parties terminates the maintenance and       support contract through written notification to the other party in the       form of a registered letter with proof of receipt, at least six (6) weeks       prior to the renewal date.']",EuroTel; Sicap Ltd,,10/6/00,10/6/02,successive 1 year,6 weeks
SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,"['SFG Financial Corp', 'E-Path FX', 'Licensee', 'Licensor', '551 FX IB Associates, LLC']",['27th day of April  2009'],[],"['Subject to termination pursuant to this Agreement, the Non Exclusive license granted by Licensor to Licensee shall be for an initial  period of 36 months, commencing from the acceptance date, (the ""Initial Period"").']",['The Agreement may be renewed for an additional period of  seven (7) years at the option of the Licensor.'],[],"SFG Financial Corp (""E-Path FX"", ""Licensor""); 551 FX IB Associates, LLC (""Licensee"")",4/27/09,,,7 years,
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,"['GARMAN ROUTING SYSTEMS, INC.', 'SPARKLING SPRING WATER GROUP LIMITED', 'SPARKLING', 'GARMAN']","['____ day of May, 2000']",[],['This Agreement and the license granted under this Agreement shall remain in effect perpetually as long as fees are paid by Sparkling in accordance with the Fee Schedule and the Agreement is not otherwise terminated in accordance with this Section.'],"['For a renewable one-year term commencing upon the Maintenance Commencement Date, subject to payment of maintenance fees in accordance with the Fee Schedule but without additional fees or charges, Garman shall provide the following Maintenance Services:']",[],"GARMAN ROUTING SYSTEMS, INC. (""GARMAN""); SPARKLING SPRING WATER GROUP LIMITED (""SPARKLING"")",05/[]/2000,,perpetual,successive 1 year,
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT.PDF,"['SEV GROUP LIMITED', 'DAIRY CREST LIMITED', 'SEV', 'DCL']",['13 October 2005'],"['""Commencement Date"" means 16 October 2005.']","['This Agreement shall commence on the Commencement Date and shall continue for an initial period of five years until terminated  in the manner described in Clause 16 below.', 'In addition, DCL may terminate this Agreement with effect from the 3rd, 4th or 5th  anniversary of the Commencement Date by giving not less than six months notice in writing to SEV']",[],[],"DAIRY CREST LIMITED (""DCL""); SEV GROUP LIMITED (""SEV"")",10/13/05,10/16/05,10/16/10,,
"SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT.PDF","['Solar Power, Inc.', 'Owner', 'Service Provider', 'Owner and Service Provider are sometimes hereinafter referred to individually as a ""Party"" and collectively as  the ""Parties.', 'Solar Tax Partners 1, LLC']","['December 11, 2009']","['December 11, 2009']","['The term of this Agreement shall commence on the Services Commencement Date and remain effective for ten (10) years (the ""Initial Term"")  unless terminated in accordance with its terms.']","['This Agreement shall be subject to an automatic extension for consecutive one (1) year periods  thereafter (each, an ""Extension Term"" and together with the Initial Term, the ""Term""), unless terminated (i) in accordance with its terms or (ii)  upon thirty (30) days\' written notice by either Party to the other Party.']","['This Agreement shall be subject to an automatic extension for consecutive one (1) year periods  thereafter (each, an ""Extension Term"" and together with the Initial Term, the ""Term""), unless terminated (i) in accordance with its terms or (ii)  upon thirty (30) days\' written notice by either Party to the other Party.']","Solar Tax Partners 1, LLC (""Owner""); Solar Power, Inc. (""Service Provider""); (Owner and Service Provider are sometimes hereinafter referred to individually as a “Party” and collectively as  the “Parties"")",12/11/09,12/11/09,12/11/19,successive 1 year,30 days
STARTECGLOBALCOMMUNICATIONSCORP_11_16_1998-EX-10.30-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,"['Tele Danmark A/S', 'Tele 2 AB', 'ABS Telecom plc', 'Belgacom S.A.', 'Cable & Wireless Global Network Organisation Limited', 'Transoceanic Communications Incorporated', 'Hellenic Telecommunications Organisation S.A.', 'STARTEC GLOBAL COMMUNICATIONS CORPORATION', 'Ultrallne (Bermuda) Limited', 'TELIA AB (publ)', 'France Telecom', 'TeleBermuda International Limited', 'IXC Communications, Inc.', 'Rostelecom', 'StarHub', 'Japan Telecom Co., Ltd.', 'Pacific Gateway Exchange Inc.', 'Sprint Communications Company L.P.', '(hereinafter  collectively  called  ""Parties""  and  individually  called ""Party"")', 'Kokusai Denshin Denwa Americas Inc.', 'GTE Intelligent Network Services Incorporated', 'British Telecommunications pIc', 'NTT Worldwide Network Corporation', 'Telef6nica de Espana, S.A.', 'Swisscom North America Inc.', 'Emirates Telecommunications Corporation - ETISALAT', 'CYPRUS TELECOMMUNICATIONS AUTHORITY', 'BellSouth International, Inc.', 'Com Tech International Corporation', 'RSL Communications Limited', 'Teleglobe USA', 'Sonera Ltd.', 'Deutsche Telekom AG', 'Cable & Wireless, Inc.', 'KPN Telecom B.V', 'MCI International Inc.', 'Telenor Global Services AS', 'STAR Telecommunications Inc.', 'VIATEL', 'Swisscom Ltd', 'Turk Telekomunikasyon A.S.', 'Telesur', 'Telia North America Inc.', 'Slovenske Telecomunicatie s.e.', 'Energis Communications Limited', 'IXNET Limited', 'BARAK I.T.C', 'Videsh Sanchar Nigam Limited', 'Singapore Telecommunications Limited', 'COMPANHIA PORTUGUESA RADIO MARCONI, SA.', 'BC TEL', 'Pacific Gateway Exchange', 'AT&T Corp.', 'OY FINNET International AB', 'Carrier 1 AG']",['2nd  day  of  September  1998'],['2nd  day  of  September  1998'],"['This Agreement  shall become  effective on the Effective Date and shall          continue in operation for at least a period of  twenty-five  (25) years          (hereinafter  called ""Initial Period"") after the RFCS Date and shall be          terminable  thereafter by agreement of the Parties.']",[],[],"ABS Telecom plc; AT&T Corp.; BARAK I.T.C; BC TEL; Belgacom S.A.; BellSouth International, Inc.; British Telecommunications pIc; Cable & Wireless Global Network Organisation Limited; Cable & Wireless, Inc.; Carrier 1 AG; COMPANHIA PORTUGUESA RADIO MARCONI, SA.; Com Tech International Corporation; CYPRUS TELECOMMUNICATIONS AUTHORITY; Deutsche Telekom AG; Energis Communications Limited; Emirates Telecommunications Corporation - ETISALAT; France Telecom; GTE Intelligent Network Services Incorporated; Hellenic Telecommunications Organisation S.A.; IXC Communications, Inc.; IXNET Limited; Japan Telecom Co., Ltd.; Kokusai Denshin Denwa Americas Inc.; KPN Telecom B.V; MCI International Inc.; NTT Worldwide Network Corporation; OY FINNET International AB; Pacific Gateway Exchange; Pacific Gateway Exchange Inc.; Rostelecom; RSL Communications Limited; Singapore Telecommunications Limited; Slovenske Telecomunicatie s.e.; Sonera Ltd.; Sprint Communications Company L.P. ; STAR Telecommunications Inc.; StarHub; STARTEC GLOBAL COMMUNICATIONS CORPORATION; Swisscom Ltd; Swisscom North America Inc.; Tele 2 AB; TeleBermuda International Limited; Tele Danmark A/S; Telef6nica de Espana, S.A.; Teleglobe USA; Telenor Global Services AS; Telesur; TELIA AB (publ); Telia North America Inc.; Transoceanic Communications Incorporated; Turk Telekomunikasyon A.S.; Ultrallne (Bermuda) Limited; VIATEL; Videsh Sanchar Nigam Limited 
(hereinafter  collectively  called  ""Parties""  and  individually  called ""Party"")",9/2/98,9/2/98,9/2/23,,
SUNTRONCORP_05_17_2006-EX-10.22-MAINTENANCE AGREEMENT.PDF,"['SUNTRON-IOWA, INC.', 'U.S. BANK NATIONAL ASSOCIATION', 'Agent', 'K*TEC OPERATING CORP.', 'CURRENT ELECTRONICS, INC.', 'SUNTRON CORPORATION', 'RM ELECTRONICS, INC.', 'THAYER EQUITY INVESTORS IV, L.P.', 'SUNTRON GCO, L.P.', 'Investor', 'SUNTRON-KANSAS, INC.', 'collectively, the ""Borrowers""', 'in such capacity and together with its successors and assigns in such capacity, the ""Agent""', 'EFTC OPERATING CORP.', 'collectively and together with their respective successors and assigns, the ""Lenders""']",['28th day of March 2006'],[],"['This Agreement shall terminate upon the earliest to occur of: (i) the date on which the aggregate Required Capital Contributions paid by the Investor, and received by the Borrowers, in accordance with the terms of this Agreement equal $5,000,000; (ii) the Release Date (as defined in Section 19) or (iii) payment in full, in cash, of all Obligations and the termination of the Financing Agreement; provided, however, that this Agreement shall continue to be effective, or be reinstated, as the case may be, if at any time the aggregate Required Capital Contributions paid by the Investor, and received by the Borrowers, in accordance with the terms of this Agreement is less than $5,000,000 and any payment, or any part thereof, on account of any of the Obligations is invalidated, declared to be fraudulent or preferential, set aside, rescinded or must otherwise be restored or returned by the Agent or the Lenders upon the insolvency, bankruptcy, liquidation, dissolution or reorganization of any Borrower or upon or as a result of the appointment of a receiver, intervenor or conservator of, or trustee or similar officer for any Borrower, or any substantial part of its property, or otherwise, all as though such payment had not been made.']",[],[],"THAYER EQUITY INVESTORS IV, L.P. (""Investor""); U.S. Bank National ASSOCIATION (together with its successors and assigns in such capacity, the ""Agent""); (Investor and Agent collectively and together with their respective successors and assigns, the ""Lenders""); SUNTRON CORPORATION; K*TEC OPERATING CORP., SUNCTRON GCO L.P.; EFTC OPERATING CORP.; SUNTRON-IOWA, INC.; CURRENT ELECTRONICS, INC.; RM ELECTRONICS, INC.; SUNTRON-KANSAS, INC. (collectively, the ""Borrowers"")",3/28/06,,,,
SUMMAFOURINC_06_19_1998-EX-10.3-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT.PDF,"['D2 Technologies, Inc.', 'D2', 'Summa Four Inc.', 'LICENSEE']","['August 4, 1997']","['August 4, 1997']",['This Agreement shall become effective on the Effective Date and shall continue in effect until terminated in accordance with the provisions of this Article 9.'],[],[],"D2 Technologies, Inc. (""D2""); Summa Four Inc. (""LICENSEE"")",8/4/97,8/4/97,perpetual,,
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION AND MAINTENANCE AGREEMENT.PDF,"['China United Telecommunications Corporation', 'China Telecom', 'Taiwan Fixed Network Co., Ltd. Preparatory Office', 'Telia AB (publ)', 'Maxis International Sdn. Bhd', 'Advantage Telecommunications Ltd.', 'APT Satellite Telecommunications Limited', 'Williams Communications, Inc.,', 'NTT Communications Corporation', 'Japan Telecom Co., Ltd.', 'KPN Telecom B.V.', 'PT Indosat (Persero) Tbk', 'Teleglobe USA Inc.', 'CTI International Limited', 'Telstra Global Networks Limited', 'Bayan Telecommunications, Inc.', 'Layer 2 Communications Group Ltd.', 'StarHub Pte Ltd', 'Concert Global Network Services, Ltd.', 'GNG Networks. Inc.', 'TT dotCom Sdn Bhd', 'Metromedia Fiber Network Services, Inc.', 'The Communications Authority of Thailand', 'Chunghwa Telecom Co., Ltd.,', 'GTE Intelligent Network Service Incorporated', 'Global One Communications Network, Inc.', 'Philippine Long Distance Telephone Company', 'Cable & Wireless HKT international Limited', 'KDD Corporation', 'Onse Telecom Corporation', 'edge2net Inc.', 'New World Telephone Limited', 'Dacom Corporation', 'Singapore Telecommunications Limited', 'Korea Telecom', 'China Netcom Corporation Ltd.', 'Cable & Wireless Global Network Limited', 'MCI International Telecommunications. Inc.', 'Onelink Cable Network Limited', 'Globe Telecom, Inc.', 'NTT Com Asia Ltd.', 'Eastern Telecommunications Philippines, Incorporated', 'New Century InfoComm Ltd., Preparatory Office', 'Global Access Ltd.', 'Telekom Malaysia Berhad (128740-P)', '(hereinafter collectively called ""Parties"" and individually called ""Party""),']",['18th day of April 2000'],"['18th day of April 2000<omitted>This Agreement shall become effective on the date and year first above written and shall continue in operation for at least an initial period of twenty-five (25) years following the RFS Date (hereinafter referred to as ""initial Period"") and shall be terminable thereafter by agreement of the Parties.']","['This Agreement shall become effective on the date and year first above written and shall continue in operation for at least an initial period of twenty-five (25) years following the RFS Date (hereinafter referred to as ""initial Period"") and shall be terminable thereafter by agreement of the Parties.']",[],[],"Advantage Telecommunications Ltd.; Cable & Wireless Global Network Limited; Cable & Wireless HKT international Limited; China Telecom; China United Telecommunications Corporation; Chunghwa Telecom Co., Ltd.,; Concert Global Network Services, Ltd.; Global One Communications Network, Inc.; Japan Telecom Co., Ltd.; KDD Corporation; Korea Telecom; KPN Telecom B.V.; Layer 2 Communications Group Ltd.; MCI International Telecommunications. Inc.; Metromedia Fiber Network Services, Inc.; New Century InfoComm Ltd., Preparatory Office; NTT Communications Corporation; Onelink Cable Network Limited; Philippine Long Distance Telephone Company; Singapore Telecommunications Limited; StarHub Pte Ltd; Taiwan Fixed Network Co., Ltd. Preparatory Office; Teleglobe USA Inc.; Telekom Malaysia Berhad (128740-P); Telstra Global Networks Limited; Williams Communications, Inc.,; APT Satellite Telecommunications Limited; Bayan Telecommunications, Inc.; China Netcom Corporation Ltd.; The Communications Authority of Thailand; CTI International Limited; Dacom Corporation; edge2net Inc.; Eastern Telecommunications Philippines, Incorporated; Global Access Ltd.; Globe Telecom, Inc.; GNG Networks. Inc.; GTE Intelligent Network Service Incorporated; PT Indosat (Persero) Tbk; Maxis International Sdn. Bhd; New World Telephone Limited; NTT Com Asia Ltd.;Onse Telecom Corporation; Telia AB (publ); TT dotCom Sdn Bhd; (hereinafter collectively called “Parties” and individually called “Party”)",4/18/00,4/18/00,4/18/25,,
TELKOMSALTD_01_30_2003-EX-10-LICENCE AND MAINTENANCE AGREEMENT.PDF,"['SYSTEMS APPLICATIONS PRODUCTS (AFRICA) (PTY) LIMITED', 'SAP AFRICA', '(""TELKOM"")', 'TELKOM SOUTH AFRICA LIMITED']",['31st day of  March 2001'],[],"['Subject to the provisions of this AGREEMENT, and with effect from the date   when the party signing last in time appends its signature to this agreement (""the   effective date""), and enduring in perpetuity unless terminated as provided for   elsewhere in this AGREEMENT, SAP AFRICA grants, and TELKOM accepts a   non-exclusive, non-transferable licence to USE the SOFTWARE,   DOCUMENTATION and other SAP AFRICA PROPRIETARY INFORMATION at   the specified DESIGNATED SITE within the TERRITORY.', 'The licence granted hereunder shall become effective upon execution of this   AGREEMENT by both parties and shall endure indefinitely unless terminated   under clause 6. 2.']",[],[],"SYSTEMS APPLICATIONS PRODUCTS (AFRICA) (PTY) LIMITED (""SAP AFRICA""); TELKOM SOUTH AFRICA LIMITED (""TELKOM"")",3/31/01,,perpetual,,
TRIZETTOGROUPINC_08_18_1999-EX-10.17-TECHNICAL INFRASTRUCTURE MAINTENANCE AGREEMENT.PDF,"['MEDICAL MANAGER, MIDWEST, INC.', 'Customer', 'MMMW', 'MTS, INC.']","['March 1, 1998']","['3-5-98', 'This Agreement shall be effective on the date of signed                   acceptance (""Effective Date"") by MMMW.']","['Upon expiration of that 12 months,           MMMW affords the Customer the opportunity of a continuation of support           on an annual basis as follows: The Initial Term of this Technical           Infrastructure Maintenance Agreement is twelve months, commencing on           the Effective Date.']",[],"['Customer, upon thirty days prior written notice, may cancel this           Agreement at the end of the Initial Term and thereafter on each           anniversary of the end of the Initial Term.']","MEDICAL MANAGER MIDWEST, INC. (""MMMW""); MTS, INC. (""Customer"")",3/1/98,3/5/98,3/5/99,,30 days
UAGHINC_04_14_2004-EX-10.18-MAINTENANCE AGREEMENT.PDF,"['Provider', 'Company', 'Universal Access, Inc.', 'CityNet Telecommunications, Inc.']","['July 23, 2003']","['This Agreement commences on the date first above written, and will remain in effect for the period of five (5) years, except as otherwise provided herein.', 'July 23, 2003']","['This Agreement commences on the date first above written, and will remain in effect for the period of five (5) years, except as otherwise provided herein.']",['This Agreement will extend automatically for monthly periods unless either party to this Agreement notifies the other party in writing at least thirty (30) days before the expiration of the then current term.'],['This Agreement will extend automatically for monthly periods unless either party to this Agreement notifies the other party in writing at least thirty (30) days before the expiration of the then current term.'],"Universal Access, Inc. (""Company""); CityNet Telecommunications, Inc.(""Provider"")",7/23/03,7/23/03,7/23/08,successive 1 month,30 days
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT.PDF,"['Company', 'American International Group, Inc.', 'American General Life Insurance Company', 'AIG']","['February 18, 2014']","['February 18, 2014']","['Unless earlier terminated in accordance with this paragraph 7, this Agreement shall continue indefinitely.']",[],"['AIG shall have the absolute right to terminate this Agreement upon thirty (30) days\' prior written notice to the Company, which notice shall state the effective date of termination (the ""Termination Date""); provided, however, that AIG agrees not to terminate this Agreement unless (a) AIG significantly modifies the<omitted>corporate structure or ownership of the Company, or (b) AIG sells the Company to an acquirer, in each case, (i) having a rating from at least one of S&P, Moody\'s, A.M. Best or a substitute agency, which is a nationally recognized statistical rating organization, that is at least equal to the lower of (x) AIG\'s then-current rating from such agency or (y) the Company\'s then-current rating as supported by this Agreement from such agency; or (ii) such that, immediately on the effective date of the modification of corporate structure or sale by AIG of the Company, the Company\'s capitalization is consistent with the minimum capital adequacy standards and criteria of at least one of S&P, Moody\'s, A.M. Best or a substitute agency, which is a nationally recognized statistical rating organization, for a rating that is equal to or better than the Company\'s then-current rating on the date immediately preceding such modification of corporate structure or sale.']","American International Group, Inc. (""AIG""); American General Life Insurance Company (""Company"")",2/18/14,2/18/14,perpetual,,30 days
VERTEXENERGYINC_08_14_2014-EX-10.24-OPERATION AND MAINTENANCE AGREEMENT.PDF,"['""Omega"" or ""Operator""', 'Owner', 'MAGELLAN TERMINALS HOLDINGS, L.P.', 'OMEGA REFINING, LLC', 'Owner and Operator are referred to individually herein as a ""Party"" and collectively herein as the ""Parties""']","['3rd day of November, 2010']","['3rd day of November, 2010']","['This Agreement shall commence on the Effective Date and, shall continue for the duration of the Lease, unless terminated earlier pursuant to Section 3.2 or 3.3.']",[],[],"MAGELLAN TERMINALS HOLDINGS, L.P. (""Owner""); OMEGA REFINING , LLC ("" Omega or Operator""); Individually as ""Party"" and collectively as ""Parties""",11/3/10,11/3/10,,,
VERTICALNETINC_04_01_2002-EX-10.19-MAINTENANCE AND SUPPORT AGREEMENT.PDF,"['Converge', '""VNE""; collectively with VNI, ""Vert""', 'VerticalNet Enterprises LLC', 'VerticalNet, Inc.', 'Converge, Inc.', 'formerly known as Tradeum, Inc. which d/b/a VerticalNet Solutions', 'VNI']","['9th day of October, 2001']","['October 1, 2001']","['The initial period of this Agreement (the ""Initial Term"") shall commence upon the Effective Date and continue until March 31, 2003.']","['Thereafter, this Agreement shall renew only upon the mutual written agreement of the parties for up to three additional renewal terms of one year each (each, a ""Renewal Term"").']",[],"VerticalNet,Inc (""VNI""); Vertical Enterprises LLC formerly known as Tradeum, Inc. which d/b/a VerticalNet Solutions (""VNE""; collectively with VNI, ""VERT""); Converge, Inc.(""Coverage"")",10/9/01,10/1/01,3/31/03,successive 1 year,
ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT.PDF,"['ToyoWest Management Inc.', 'Partnership', 'Sagebrush', 'Partners', 'Manager', 'Sagebrush partners']","['December 1, 1990']",[],[],[],[],"Sagebrush (""Partnership""); Sagebrush partners (""Partners""); ToyoWest Management Inc. (""Manager"")",12/1/90,,,,
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT.PDF","['Trust Advisors to the Seller Trusts', 'Trust Advisors', 'Each of GWG and the Trust Advisors may be referred to herein as a ""Party"" and collectively as the ""Parties.""', 'GWG', 'GWG Holdings, Inc.']","['December 27, 2018']","['December 27, 2018']","['This OMA shall expire upon the earlier of (i) the first anniversary of the Effective Date and (ii) the date that all Shares of Stock of the Seller Trusts as set forth on Schedule A hereto have been sold (the ""Term"").']",[],[],"GWG Holdings, Inc. (""GWG""); Trust Advisors to the Seller Trusts (""Trust Advisors""); GWG and Trust Advisors (each a  “Party” and collectively as the “Parties”)",12/27/18,12/27/18,12/27/19,,
